"fecha","entidad","cantidad"
"2021-09-15","0002",5
"2021-09-21","0002",1
"2021-09-22","0002",11
"2021-09-23","0002",12
"2021-09-24","0002",12
"2021-09-25","0002",23
"2021-09-26","0002",10
"2021-09-27","0002",24
"2021-09-28","0002",37
"2021-09-29","0002",136
"2021-09-30","0002",252
"2021-10-01","0002",311
"2021-10-02","0002",222
"2021-10-03","0002",191
"2021-10-04","0002",364
"2021-10-05","0002",338
"2021-10-06","0002",455
"2021-10-07","0002",519
"2021-10-08","0002",531
"2021-10-09","0002",355
"2021-10-10","0002",223
"2021-10-11","0002",649
"2021-10-12","0002",605
"2021-10-13","0002",523
"2021-10-14","0002",516
"2021-10-15","0002",567
"2021-10-16","0002",509
"2021-10-17","0002",240
"2021-10-18","0002",650
"2021-10-19","0002",637
"2021-10-20","0002",649
"2021-10-21","0002",583
"2021-10-22","0002",656
"2021-10-23","0002",458
"2021-10-24","0002",326
"2021-10-25","0002",699
"2021-10-26","0002",656
"2021-10-27","0002",719
"2021-10-28","0002",693
"2021-10-29","0002",730
"2021-10-30","0002",620
"2021-10-31","0002",285
"2021-11-01","0002",813
"2021-11-02","0002",700
"2021-11-03","0002",774
"2021-11-04","0002",711
"2021-11-05","0002",675
"2021-11-06","0002",568
"2021-11-07","0002",284
"2021-11-08","0002",764
"2021-11-09","0002",690
"2021-11-10","0002",688
"2021-11-11","0002",730
"2021-11-12","0002",761
"2021-11-13","0002",461
"2021-11-14","0002",250
"2021-11-15","0002",709
"2021-11-16","0002",620
"2021-11-17","0002",662
"2021-11-18","0002",610
"2021-11-19","0002",789
"2021-11-20","0002",516
"2021-11-21","0002",290
"2021-11-22","0002",688
"2021-11-23","0002",725
"2021-11-24","0002",705
"2021-11-25","0002",791
"2021-11-26","0002",923
"2021-11-27","0002",632
"2021-11-28","0002",222
"2021-11-29","0002",898
"2021-11-30","0002",912
"2021-12-01","0002",856
"2021-12-02","0002",1003
"2021-12-03","0002",996
"2021-12-04","0002",678
"2021-12-05","0002",261
"2021-12-06","0002",910
"2021-12-07","0002",929
"2021-12-08","0002",244
"2021-12-09","0002",991
"2021-12-10","0002",951
"2021-12-11","0002",618
"2021-12-12","0002",258
"2021-12-13","0002",688
"2021-12-14","0002",880
"2021-12-15","0002",881
"2021-12-16","0002",865
"2021-12-16","0003",71
"2021-12-17","0002",795
"2021-12-17","0003",94
"2021-12-18","0002",632
"2021-12-18","0003",72
"2021-12-19","0002",298
"2021-12-19","0003",13
"2021-12-20","0002",873
"2021-12-20","0003",90
"2021-12-21","0002",854
"2021-12-21","0003",100
"2021-12-22","0002",942
"2021-12-22","0003",104
"2021-12-23","0002",877
"2021-12-23","0003",30
"2021-12-24","0002",533
"2021-12-25","0002",76
"2021-12-26","0002",200
"2021-12-27","0002",867
"2021-12-28","0002",783
"2021-12-29","0002",863
"2021-12-30","0002",850
"2021-12-31","0002",506
"2022-01-01","0002",97
"2022-01-02","0002",262
"2022-01-03","0002",648
"2022-01-04","0002",849
"2022-01-05","0002",782
"2022-01-06","0002",679
"2022-01-06","0003",1
"2022-01-07","0002",621
"2022-01-07","0003",61
"2022-01-08","0002",450
"2022-01-08","0003",29
"2022-01-09","0002",166
"2022-01-09","0003",9
"2022-01-10","0002",659
"2022-01-10","0003",54
"2022-01-11","0002",622
"2022-01-11","0003",30
"2022-01-12","0002",630
"2022-01-12","0003",243
"2022-01-13","0002",635
"2022-01-13","0003",214
"2022-01-14","0002",675
"2022-01-14","0003",244
"2022-01-15","0002",471
"2022-01-15","0003",176
"2022-01-16","0002",191
"2022-01-16","0003",46
"2022-01-17","0002",665
"2022-01-17","0003",234
"2022-01-18","0002",643
"2022-01-18","0003",226
"2022-01-19","0002",538
"2022-01-19","0003",366
"2022-01-20","0002",629
"2022-01-20","0003",378
"2022-01-21","0002",646
"2022-01-21","0003",392
"2022-01-22","0002",447
"2022-01-22","0003",314
"2022-01-23","0002",189
"2022-01-23","0003",65
"2022-01-24","0002",595
"2022-01-24","0003",398
"2022-01-25","0002",684
"2022-01-25","0003",422
"2022-01-26","0002",666
"2022-01-26","0003",350
"2022-01-27","0002",654
"2022-01-27","0003",308
"2022-01-28","0002",779
"2022-01-28","0003",407
"2022-01-29","0002",490
"2022-01-29","0003",336
"2022-01-30","0002",220
"2022-01-30","0003",82
"2022-01-31","0002",813
"2022-01-31","0003",539
